Model,Horizon,Fold,Test Start,Test End,AUC,Threshold
XGBoost,1,34,2025-02-19,2025-05-15,0.4781144781144781,0.52
XGBoost,1,35,2025-05-16,2025-08-07,0.5011160714285714,0.58
XGBoost,1,36,2025-08-08,2025-10-30,0.6262513904338154,0.6
Logistic Regression,3,1,2017-07-14,2017-10-05,0.5211111111111111,0.52
Logistic Regression,3,2,2017-10-06,2017-12-29,0.6004464285714286,0.52
Logistic Regression,3,3,2018-01-01,2018-03-23,0.47777777777777775,0.52
Logistic Regression,3,4,2018-03-26,2018-06-15,0.5198412698412699,0.6
Logistic Regression,3,5,2018-06-18,2018-09-07,0.5417130144605117,0.6
Logistic Regression,3,6,2018-09-10,2018-11-30,0.505656108597285,0.52
Logistic Regression,3,7,2018-12-03,2019-02-22,0.3348214285714286,0.52
Logistic Regression,3,8,2019-02-25,2019-05-17,0.6829810901001112,0.5
Logistic Regression,3,9,2019-05-20,2019-08-12,0.5357142857142857,0.58
Logistic Regression,3,10,2019-08-13,2019-11-04,0.5736607142857143,0.58
Logistic Regression,3,11,2019-11-05,2020-01-27,0.5522914218566393,0.58
Logistic Regression,3,12,2020-01-28,2020-04-20,0.45089285714285715,0.52
Logistic Regression,3,13,2020-04-21,2020-07-13,0.4265569917743831,0.58
Logistic Regression,3,14,2020-07-14,2020-10-05,0.43314285714285716,0.5
Logistic Regression,3,15,2020-10-06,2020-12-28,0.5850000000000001,0.6
Logistic Regression,3,16,2020-12-29,2021-03-22,0.5933014354066986,0.58
Logistic Regression,3,17,2021-03-23,2021-06-14,0.3478260869565218,0.58
Logistic Regression,3,18,2021-06-15,2021-09-06,0.569023569023569,0.6
Logistic Regression,3,19,2021-09-07,2021-11-29,0.5131578947368421,0.5
Logistic Regression,3,20,2021-11-30,2022-02-21,0.5771428571428572,0.58
Logistic Regression,3,21,2022-02-22,2022-05-16,0.6944801026957638,0.5
Logistic Regression,3,22,2022-05-17,2022-08-08,0.5758928571428571,0.5
Logistic Regression,3,23,2022-08-09,2022-10-31,0.6846240179573513,0.5
Logistic Regression,3,24,2022-11-01,2023-01-23,0.6349206349206349,0.5
Logistic Regression,3,25,2023-01-24,2023-04-17,0.4709821428571428,0.5
Logistic Regression,3,26,2023-04-18,2023-07-10,0.40155728587319245,0.52
Logistic Regression,3,27,2023-07-11,2023-10-02,0.4725925925925927,0.54
Logistic Regression,3,28,2023-10-03,2023-12-25,0.6068376068376069,0.54
Logistic Regression,3,29,2023-12-26,2024-03-18,0.4538375973303671,0.58
Logistic Regression,3,30,2024-03-19,2024-06-10,0.5207631874298542,0.58
Logistic Regression,3,31,2024-06-11,2024-09-02,0.44571428571428573,0.52
Logistic Regression,3,32,2024-09-03,2024-11-25,0.5115740740740741,0.6
Logistic Regression,3,33,2024-11-26,2025-02-18,0.631813125695217,0.56
Logistic Regression,3,34,2025-02-19,2025-05-15,0.47058823529411764,0.54
Logistic Regression,3,35,2025-05-16,2025-08-07,0.8145933014354068,0.56
Logistic Regression,3,36,2025-08-08,2025-10-30,0.6830357142857143,0.52
Random Forest,3,1,2017-07-14,2017-10-05,0.4511111111111111,0.5
Random Forest,3,2,2017-10-06,2017-12-29,0.4475446428571429,0.5
Random Forest,3,3,2018-01-01,2018-03-23,0.5366666666666666,0.54
Random Forest,3,4,2018-03-26,2018-06-15,0.5767195767195767,0.52
Random Forest,3,5,2018-06-18,2018-09-07,0.3770856507230256,0.5
Random Forest,3,6,2018-09-10,2018-11-30,0.4253393665158371,0.5
Random Forest,3,7,2018-12-03,2019-02-22,0.5345982142857143,0.5
Random Forest,3,8,2019-02-25,2019-05-17,0.5161290322580645,0.5
Random Forest,3,9,2019-05-20,2019-08-12,0.58203125,0.5
Random Forest,3,10,2019-08-13,2019-11-04,0.5535714285714286,0.5
Random Forest,3,11,2019-11-05,2020-01-27,0.599294947121034,0.5
Random Forest,3,12,2020-01-28,2020-04-20,0.4888392857142857,0.5
Random Forest,3,13,2020-04-21,2020-07-13,0.5887191539365452,0.54
Random Forest,3,14,2020-07-14,2020-10-05,0.4582857142857143,0.5
Random Forest,3,15,2020-10-06,2020-12-28,0.62875,0.6
Random Forest,3,16,2020-12-29,2021-03-22,0.5915071770334928,0.58
Random Forest,3,17,2021-03-23,2021-06-14,0.3983548766157462,0.52
Random Forest,3,18,2021-06-15,2021-09-06,0.4949494949494949,0.6
Random Forest,3,19,2021-09-07,2021-11-29,0.4557416267942584,0.5
Random Forest,3,20,2021-11-30,2022-02-21,0.7680000000000001,0.5
Random Forest,3,21,2022-02-22,2022-05-16,0.5237483953786907,0.5
Random Forest,3,22,2022-05-17,2022-08-08,0.5223214285714286,0.5
Random Forest,3,23,2022-08-09,2022-10-31,0.7732884399551065,0.5
Random Forest,3,24,2022-11-01,2023-01-23,0.6904761904761905,0.5
Random Forest,3,25,2023-01-24,2023-04-17,0.5357142857142857,0.5
Random Forest,3,26,2023-04-18,2023-07-10,0.40155728587319245,0.5
Random Forest,3,27,2023-07-11,2023-10-02,0.33555555555555555,0.56
Random Forest,3,28,2023-10-03,2023-12-25,0.6581196581196581,0.56
Random Forest,3,29,2023-12-26,2024-03-18,0.5406006674082313,0.54
Random Forest,3,30,2024-03-19,2024-06-10,0.6015712682379349,0.56
Random Forest,3,31,2024-06-11,2024-09-02,0.4674285714285714,0.5
Random Forest,3,32,2024-09-03,2024-11-25,0.4311342592592593,0.54
Random Forest,3,33,2024-11-26,2025-02-18,0.6601779755283649,0.5
Random Forest,3,34,2025-02-19,2025-05-15,0.4434389140271494,0.5
Random Forest,3,35,2025-05-16,2025-08-07,0.6913875598086124,0.54
Random Forest,3,36,2025-08-08,2025-10-30,0.671875,0.6
XGBoost,3,1,2017-07-14,2017-10-05,0.47555555555555556,0.56
XGBoost,3,2,2017-10-06,2017-12-29,0.4464285714285714,0.56
XGBoost,3,3,2018-01-01,2018-03-23,0.4766666666666667,0.52
XGBoost,3,4,2018-03-26,2018-06-15,0.42857142857142855,0.6
XGBoost,3,5,2018-06-18,2018-09-07,0.3448275862068966,0.6
XGBoost,3,6,2018-09-10,2018-11-30,0.3755656108597285,0.5
XGBoost,3,7,2018-12-03,2019-02-22,0.5357142857142857,0.6
XGBoost,3,8,2019-02-25,2019-05-17,0.5672969966629589,0.6
XGBoost,3,9,2019-05-20,2019-08-12,0.37946428571428575,0.56
XGBoost,3,10,2019-08-13,2019-11-04,0.5658482142857143,0.56
XGBoost,3,11,2019-11-05,2020-01-27,0.5675675675675675,0.52
XGBoost,3,12,2020-01-28,2020-04-20,0.41183035714285715,0.58
XGBoost,3,13,2020-04-21,2020-07-13,0.4876615746180964,0.52
XGBoost,3,14,2020-07-14,2020-10-05,0.45257142857142857,0.6
XGBoost,3,15,2020-10-06,2020-12-28,0.55375,0.58
XGBoost,3,16,2020-12-29,2021-03-22,0.5299043062200957,0.6
XGBoost,3,17,2021-03-23,2021-06-14,0.5170387779083432,0.58
XGBoost,3,18,2021-06-15,2021-09-06,0.48597081930415265,0.56
XGBoost,3,19,2021-09-07,2021-11-29,0.6363636363636364,0.6
XGBoost,3,20,2021-11-30,2022-02-21,0.566857142857143,0.6
XGBoost,3,21,2022-02-22,2022-05-16,0.2888318356867779,0.5
XGBoost,3,22,2022-05-17,2022-08-08,0.4888392857142857,0.5
XGBoost,3,23,2022-08-09,2022-10-31,0.7070707070707071,0.5
XGBoost,3,24,2022-11-01,2023-01-23,0.5502645502645502,0.52
XGBoost,3,25,2023-01-24,2023-04-17,0.4375,0.58
XGBoost,3,26,2023-04-18,2023-07-10,0.4527252502780868,0.52
XGBoost,3,27,2023-07-11,2023-10-02,0.3303703703703704,0.6
XGBoost,3,28,2023-10-03,2023-12-25,0.5897435897435898,0.58
XGBoost,3,29,2023-12-26,2024-03-18,0.6251390433815351,0.54
XGBoost,3,30,2024-03-19,2024-06-10,0.5185185185185185,0.58
XGBoost,3,31,2024-06-11,2024-09-02,0.48,0.6
XGBoost,3,32,2024-09-03,2024-11-25,0.46064814814814814,0.56
XGBoost,3,33,2024-11-26,2025-02-18,0.35372636262513907,0.56
XGBoost,3,34,2025-02-19,2025-05-15,0.5361990950226244,0.6
XGBoost,3,35,2025-05-16,2025-08-07,0.5478468899521531,0.52
XGBoost,3,36,2025-08-08,2025-10-30,0.3816964285714286,0.6
Logistic Regression,5,1,2017-07-14,2017-10-05,0.4841628959276018,0.54
Logistic Regression,5,2,2017-10-06,2017-12-29,0.4571092831962397,0.52
Logistic Regression,5,3,2018-01-01,2018-03-23,0.4938820912124583,0.56
Logistic Regression,5,4,2018-03-26,2018-06-15,0.611111111111111,0.56
Logistic Regression,5,5,2018-06-18,2018-09-07,0.4486607142857143,0.54
Logistic Regression,5,6,2018-09-10,2018-11-30,0.5090497737556561,0.5
Logistic Regression,5,7,2018-12-03,2019-02-22,0.39710789766407123,0.52
Logistic Regression,5,8,2019-02-25,2019-05-17,0.659502262443439,0.5
Logistic Regression,5,9,2019-05-20,2019-08-12,0.3860830527497194,0.5
Logistic Regression,5,10,2019-08-13,2019-11-04,0.639599555061179,0.58
Logistic Regression,5,11,2019-11-05,2020-01-27,0.464,0.54
Logistic Regression,5,12,2020-01-28,2020-04-20,0.3657142857142857,0.56
Logistic Regression,5,13,2020-04-21,2020-07-13,0.5476190476190477,0.5
Logistic Regression,5,14,2020-07-14,2020-10-05,0.5628672150411281,0.5
Logistic Regression,5,15,2020-10-06,2020-12-28,0.5506715506715507,0.6
Logistic Regression,5,16,2020-12-29,2021-03-22,0.6655092592592592,0.54
Logistic Regression,5,17,2021-03-23,2021-06-14,0.3419506462984724,0.6
Logistic Regression,5,18,2021-06-15,2021-09-06,0.5279017857142857,0.58
Logistic Regression,5,19,2021-09-07,2021-11-29,0.5879332477535301,0.58
Logistic Regression,5,20,2021-11-30,2022-02-21,0.6051703877790835,0.5
Logistic Regression,5,21,2022-02-22,2022-05-16,0.6508344030808728,0.5
Logistic Regression,5,22,2022-05-17,2022-08-08,0.6106785317018909,0.5
Logistic Regression,5,23,2022-08-09,2022-10-31,0.6650717703349283,0.5
Logistic Regression,5,24,2022-11-01,2023-01-23,0.6499999999999999,0.5
Logistic Regression,5,25,2023-01-24,2023-04-17,0.4118303571428571,0.5
Logistic Regression,5,26,2023-04-18,2023-07-10,0.38383838383838387,0.5
Logistic Regression,5,27,2023-07-11,2023-10-02,0.5062111801242235,0.52
Logistic Regression,5,28,2023-10-03,2023-12-25,0.5545571245186136,0.52
Logistic Regression,5,29,2023-12-26,2024-03-18,0.3993055555555556,0.5
Logistic Regression,5,30,2024-03-19,2024-06-10,0.3031674208144796,0.52
Logistic Regression,5,31,2024-06-11,2024-09-02,0.4559341950646299,0.58
Logistic Regression,5,32,2024-09-03,2024-11-25,0.25,0.6
Logistic Regression,5,33,2024-11-26,2025-02-18,0.5443322109988776,0.58
Logistic Regression,5,34,2025-02-19,2025-05-15,0.38657407407407407,0.5
Logistic Regression,5,35,2025-05-16,2025-08-07,0.784688995215311,0.5
Logistic Regression,5,36,2025-08-08,2025-10-30,0.6365714285714285,0.5
Random Forest,5,1,2017-07-14,2017-10-05,0.5424208144796381,0.5
Random Forest,5,2,2017-10-06,2017-12-29,0.30434782608695654,0.52
Random Forest,5,3,2018-01-01,2018-03-23,0.4649610678531702,0.56
Random Forest,5,4,2018-03-26,2018-06-15,0.6626984126984128,0.56
Random Forest,5,5,2018-06-18,2018-09-07,0.3883928571428571,0.54
Random Forest,5,6,2018-09-10,2018-11-30,0.33597285067873306,0.54
Random Forest,5,7,2018-12-03,2019-02-22,0.37152391546162405,0.5
Random Forest,5,8,2019-02-25,2019-05-17,0.6063348416289593,0.58
Random Forest,5,9,2019-05-20,2019-08-12,0.40291806958473625,0.58
Random Forest,5,10,2019-08-13,2019-11-04,0.5728587319243605,0.5
Random Forest,5,11,2019-11-05,2020-01-27,0.23200000000000004,0.56
Random Forest,5,12,2020-01-28,2020-04-20,0.5131428571428571,0.6
Random Forest,5,13,2020-04-21,2020-07-13,0.615079365079365,0.5
Random Forest,5,14,2020-07-14,2020-10-05,0.5499412455934196,0.56
Random Forest,5,15,2020-10-06,2020-12-28,0.586080586080586,0.5
Random Forest,5,16,2020-12-29,2021-03-22,0.537037037037037,0.56
Random Forest,5,17,2021-03-23,2021-06-14,0.38425381903642775,0.58
Random Forest,5,18,2021-06-15,2021-09-06,0.609375,0.56
Random Forest,5,19,2021-09-07,2021-11-29,0.5982028241335045,0.54
