Feature Set,Model,Fold,Test Start,Test End,AUC
Technical Only,XGBoost,39,2019-09-03,2019-11-25,0.4685714285714286
Technical Only,Logistic Regression,40,2019-11-26,2020-02-17,0.38375973303670746
Technical Only,Random Forest,40,2019-11-26,2020-02-17,0.3581757508342603
Technical Only,XGBoost,40,2019-11-26,2020-02-17,0.41713014460511677
Technical Only,Logistic Regression,41,2020-02-18,2020-05-11,0.39285714285714285
Technical Only,Random Forest,41,2020-02-18,2020-05-11,0.4977678571428571
Technical Only,XGBoost,41,2020-02-18,2020-05-11,0.45758928571428575
Technical Only,Logistic Regression,42,2020-05-12,2020-08-03,0.47826086956521746
Technical Only,Random Forest,42,2020-05-12,2020-08-03,0.48531139835487663
Technical Only,XGBoost,42,2020-05-12,2020-08-03,0.4829612220916569
Technical Only,Logistic Regression,43,2020-08-04,2020-10-26,0.5795328142380423
Technical Only,Random Forest,43,2020-08-04,2020-10-26,0.5044493882091212
Technical Only,XGBoost,43,2020-08-04,2020-10-26,0.4582869855394883
Technical Only,Logistic Regression,44,2020-10-27,2021-01-18,0.5424107142857143
Technical Only,Random Forest,44,2020-10-27,2021-01-18,0.5546875
Technical Only,XGBoost,44,2020-10-27,2021-01-18,0.515625
Technical Only,Logistic Regression,45,2021-01-19,2021-04-12,0.55
Technical Only,Random Forest,45,2021-01-19,2021-04-12,0.5588888888888889
Technical Only,XGBoost,45,2021-01-19,2021-04-12,0.5922222222222222
Technical Only,Logistic Regression,46,2021-04-13,2021-07-05,0.6162402669632925
Technical Only,Random Forest,46,2021-04-13,2021-07-05,0.5161290322580645
Technical Only,XGBoost,46,2021-04-13,2021-07-05,0.4527252502780868
Technical Only,Logistic Regression,47,2021-07-06,2021-09-27,0.5135746606334841
Technical Only,Random Forest,47,2021-07-06,2021-09-27,0.5373303167420814
Technical Only,XGBoost,47,2021-07-06,2021-09-27,0.4864253393665158
Technical Only,Logistic Regression,48,2021-09-28,2021-12-20,0.5792410714285715
Technical Only,Random Forest,48,2021-09-28,2021-12-20,0.5362723214285714
