Window,Fold,Training Rows,Train Start,Train End,Test Start,Test End,AUC,Accuracy,Balanced Accuracy
5-Year Rolling,34,1260,2020-04-14,2025-02-11,2025-02-12,2025-05-08,0.49382716049382713,0.5,0.46464646464646464
5-Year Rolling,35,1260,2020-07-07,2025-05-08,2025-05-09,2025-07-31,0.5770089285714286,0.5666666666666667,0.5892857142857143
5-Year Rolling,36,1260,2020-09-29,2025-07-31,2025-08-01,2025-10-23,0.7296996662958842,0.55,0.5611790878754171
10-Year Rolling,1,2520,2007-10-08,2017-07-05,2017-07-06,2017-09-28,0.6011428571428571,0.48333333333333334,0.5285714285714286
10-Year Rolling,2,2520,2008-01-02,2017-09-28,2017-09-29,2017-12-22,0.5625,0.5,0.5022321428571428
10-Year Rolling,3,2520,2008-03-26,2017-12-22,2017-12-25,2018-03-16,0.42824074074074076,0.4166666666666667,0.4583333333333333
10-Year Rolling,4,2520,2008-06-20,2018-03-16,2018-03-19,2018-06-08,0.49434389140271495,0.45,0.45588235294117646
10-Year Rolling,5,2520,2008-10-07,2018-06-08,2018-06-11,2018-08-31,0.4560622914349277,0.48333333333333334,0.4899888765294772
10-Year Rolling,6,2520,2008-12-30,2018-08-31,2018-09-03,2018-11-23,0.6344444444444444,0.5666666666666667,0.5666666666666667
10-Year Rolling,7,2520,2009-03-24,2018-11-23,2018-11-26,2019-02-15,0.6351501668520578,0.5833333333333334,0.5878754171301446
10-Year Rolling,8,2520,2009-06-16,2019-02-15,2019-02-18,2019-05-10,0.4877232142857143,0.48333333333333334,0.4776785714285714
10-Year Rolling,9,2520,2009-09-08,2019-05-10,2019-05-13,2019-08-05,0.5269360269360269,0.5833333333333334,0.5976430976430976
10-Year Rolling,10,2520,2009-12-01,2019-08-05,2019-08-06,2019-10-28,0.5122767857142857,0.4666666666666667,0.46651785714285715
10-Year Rolling,11,2520,2010-02-23,2019-10-28,2019-10-29,2020-01-20,0.516,0.45,0.48857142857142855
10-Year Rolling,12,2520,2010-05-18,2020-01-20,2020-01-21,2020-04-13,0.47699214365881026,0.45,0.4629629629629629
10-Year Rolling,13,2520,2010-08-10,2020-04-13,2020-04-14,2020-07-06,0.5072951739618407,0.4666666666666667,0.46464646464646464
10-Year Rolling,14,2520,2010-11-02,2020-07-06,2020-07-07,2020-09-28,0.4117647058823529,0.4166666666666667,0.42194570135746606
10-Year Rolling,15,2520,2011-01-25,2020-09-28,2020-09-29,2020-12-21,0.6205357142857142,0.6,0.6116071428571428
10-Year Rolling,16,2520,2011-04-19,2020-12-21,2020-12-22,2021-03-15,0.5747767857142856,0.5833333333333334,0.5647321428571428
10-Year Rolling,17,2520,2011-07-12,2021-03-15,2021-03-16,2021-06-07,0.5672222222222222,0.5333333333333333,0.5333333333333333
10-Year Rolling,18,2520,2011-10-04,2021-06-07,2021-06-08,2021-08-30,0.5028280542986424,0.5,0.5452488687782805
10-Year Rolling,19,2520,2011-12-27,2021-08-30,2021-08-31,2021-11-22,0.4852941176470589,0.48333333333333334,0.498868778280543
10-Year Rolling,20,2520,2012-03-20,2021-11-22,2021-11-23,2022-02-14,0.7196885428253615,0.6833333333333333,0.6813125695216908
10-Year Rolling,21,2520,2012-06-12,2022-02-14,2022-02-15,2022-05-09,0.5182138660399529,0.43333333333333335,0.48296122209165687
10-Year Rolling,22,2520,2012-09-04,2022-05-09,2022-05-10,2022-08-01,0.49330357142857145,0.43333333333333335,0.4285714285714286
10-Year Rolling,23,2520,2012-11-27,2022-08-01,2022-08-02,2022-10-24,0.5942857142857143,0.48333333333333334,0.5057142857142858
10-Year Rolling,24,2520,2013-02-20,2022-10-24,2022-10-25,2023-01-16,0.5150166852057843,0.4666666666666667,0.4771968854282536
10-Year Rolling,25,2520,2013-05-15,2023-01-16,2023-01-17,2023-04-10,0.4910714285714286,0.4666666666666667,0.46875
10-Year Rolling,26,2520,2013-08-07,2023-04-10,2023-04-11,2023-07-03,0.5667789001122334,0.6,0.6094276094276094
10-Year Rolling,27,2520,2013-10-31,2023-07-03,2023-07-04,2023-09-25,0.4827586206896551,0.4666666666666667,0.4760845383759733
10-Year Rolling,28,2520,2014-01-23,2023-09-25,2023-09-26,2023-12-18,0.6206509539842874,0.55,0.5841750841750841
10-Year Rolling,29,2520,2014-04-17,2023-12-18,2023-12-19,2024-03-11,0.5366666666666666,0.48333333333333334,0.4833333333333333
10-Year Rolling,30,2520,2014-07-10,2024-03-11,2024-03-12,2024-06-03,0.5691428571428571,0.55,0.5171428571428571
10-Year Rolling,31,2520,2014-10-02,2024-06-03,2024-06-04,2024-08-26,0.5373303167420814,0.5,0.5180995475113122
10-Year Rolling,32,2520,2014-12-25,2024-08-26,2024-08-27,2024-11-18,0.5238095238095238,0.55,0.543956043956044
10-Year Rolling,33,2520,2015-03-19,2024-11-18,2024-11-19,2025-02-11,0.5757575757575757,0.5,0.5218855218855218
10-Year Rolling,34,2520,2015-06-11,2025-02-11,2025-02-12,2025-05-08,0.5162738496071829,0.5166666666666667,0.4898989898989899
10-Year Rolling,35,2520,2015-09-03,2025-05-08,2025-05-09,2025-07-31,0.5401785714285714,0.5166666666666667,0.53125
10-Year Rolling,36,2520,2015-11-26,2025-07-31,2025-08-01,2025-10-23,0.5895439377085652,0.5333333333333333,0.5406006674082313
