date,event,canonical_event,actual,forecast,previous,surprise,surprise_available
2009-01-06,CPI Flash Estimate y/y,eu_cpi,1.6,1.8,2.1,-0.19999999999999996,1
2009-01-09,Non-Farm Employment Change,us_nfp,-524.0,-520.0,-584.0,-4.0,1
2009-01-15,Main Refinancing Rate,ecb_rate,2.0,2.0,2.5,0.0,1
2009-01-16,CPI m/m,us_cpi,-0.7,-0.8,-1.7,0.10000000000000009,1
2009-01-29,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2009-01-30,CPI Flash Estimate y/y,eu_cpi,1.1,1.4,1.6,-0.2999999999999998,1
2009-02-05,Main Refinancing Rate,ecb_rate,2.0,2.0,2.0,0.0,1
2009-02-06,Non-Farm Employment Change,us_nfp,-598.0,-530.0,-577.0,-68.0,1
2009-02-20,CPI m/m,us_cpi,0.3,0.2,-0.7,0.09999999999999998,1
2009-03-02,CPI Flash Estimate y/y,eu_cpi,1.2,1.0,1.1,0.19999999999999996,1
2009-03-05,Main Refinancing Rate,ecb_rate,1.5,1.5,2.0,0.0,1
2009-03-06,Non-Farm Employment Change,us_nfp,-651.0,-647.0,-655.0,-4.0,1
2009-03-18,CPI m/m,us_cpi,0.4,0.3,0.3,0.10000000000000003,1
2009-03-19,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2009-03-31,CPI Flash Estimate y/y,eu_cpi,0.6,0.7,1.2,-0.09999999999999998,1
2009-04-02,Main Refinancing Rate,ecb_rate,1.25,1.0,1.5,0.25,1
2009-04-03,Non-Farm Employment Change,us_nfp,-663.0,-659.0,-651.0,-4.0,1
2009-04-15,CPI m/m,us_cpi,-0.1,0.1,0.4,-0.2,1
2009-04-30,CPI Flash Estimate y/y,eu_cpi,0.6,0.7,0.6,-0.09999999999999998,1
2009-04-30,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2009-05-07,Main Refinancing Rate,ecb_rate,1.0,1.0,1.25,0.0,1
2009-05-08,Non-Farm Employment Change,us_nfp,-539.0,-590.0,-699.0,51.0,1
2009-05-15,CPI m/m,us_cpi,0.0,0.0,-0.1,0.0,1
2009-05-29,CPI Flash Estimate y/y,eu_cpi,0.0,0.2,0.6,-0.2,1
2009-06-04,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2009-06-05,Non-Farm Employment Change,us_nfp,-345.0,-520.0,-504.0,175.0,1
2009-06-17,CPI m/m,us_cpi,0.1,0.3,0.0,-0.19999999999999998,1
2009-06-25,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2009-06-30,CPI Flash Estimate y/y,eu_cpi,-0.1,-0.2,0.0,0.1,1
2009-07-02,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2009-07-02,Non-Farm Employment Change,us_nfp,-467.0,-360.0,-322.0,-107.0,1
2009-07-15,CPI m/m,us_cpi,0.7,0.6,0.1,0.09999999999999998,1
2009-07-31,CPI Flash Estimate y/y,eu_cpi,-0.6,-0.4,-0.1,-0.19999999999999996,1
2009-08-06,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2009-08-07,Non-Farm Employment Change,us_nfp,-247.0,-320.0,-443.0,73.0,1
2009-08-13,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2009-08-14,CPI m/m,us_cpi,0.0,0.0,0.7,0.0,1
2009-08-31,CPI Flash Estimate y/y,eu_cpi,-0.2,-0.4,-0.7,0.2,1
2009-09-03,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2009-09-04,Non-Farm Employment Change,us_nfp,-216.0,-223.0,-276.0,7.0,1
2009-09-16,CPI m/m,us_cpi,0.4,0.3,0.0,0.10000000000000003,1
2009-09-24,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2009-09-30,CPI Flash Estimate y/y,eu_cpi,-0.3,-0.2,-0.2,-0.09999999999999998,1
2009-10-02,Non-Farm Employment Change,us_nfp,-263.0,-179.0,-201.0,-84.0,1
2009-10-08,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2009-10-15,CPI m/m,us_cpi,0.2,0.2,0.4,0.0,1
2009-10-30,CPI Flash Estimate y/y,eu_cpi,-0.1,-0.1,-0.3,0.0,1
2009-11-05,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2009-11-05,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2009-11-06,Non-Farm Employment Change,us_nfp,-190.0,-173.0,-219.0,-17.0,1
2009-11-18,CPI m/m,us_cpi,0.3,0.2,0.2,0.09999999999999998,1
2009-11-30,CPI Flash Estimate y/y,eu_cpi,0.6,0.5,-0.1,0.09999999999999998,1
2009-12-03,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2009-12-04,Non-Farm Employment Change,us_nfp,-11.0,-119.0,-111.0,108.0,1
2009-12-16,CPI m/m,us_cpi,0.4,0.4,0.3,0.0,1
2009-12-17,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2010-01-05,CPI Flash Estimate y/y,eu_cpi,0.9,0.9,0.5,0.0,1
2010-01-08,Non-Farm Employment Change,us_nfp,-85.0,-3.0,4.0,-82.0,1
2010-01-14,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2010-01-15,CPI m/m,us_cpi,0.1,0.2,0.4,-0.1,1
2010-01-28,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2010-01-29,CPI Flash Estimate y/y,eu_cpi,1.0,1.2,0.9,-0.19999999999999996,1
2010-02-04,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2010-02-05,Non-Farm Employment Change,us_nfp,-20.0,10.0,-150.0,-30.0,1
2010-02-19,CPI m/m,us_cpi,0.2,0.3,0.1,-0.09999999999999998,1
2010-03-02,CPI Flash Estimate y/y,eu_cpi,0.9,1.0,1.0,-0.09999999999999998,1
2010-03-04,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2010-03-05,Non-Farm Employment Change,us_nfp,-36.0,-56.0,-26.0,20.0,1
2010-03-17,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2010-03-18,CPI m/m,us_cpi,0.0,0.1,0.2,-0.1,1
2010-03-31,CPI Flash Estimate y/y,eu_cpi,1.5,1.1,0.9,0.3999999999999999,1
2010-04-02,Non-Farm Employment Change,us_nfp,162.0,185.0,-14.0,-23.0,1
2010-04-08,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2010-04-14,CPI m/m,us_cpi,0.1,0.1,0.0,0.0,1
2010-04-29,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2010-04-30,CPI Flash Estimate y/y,eu_cpi,1.5,1.4,1.4,0.10000000000000009,1
2010-05-06,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2010-05-07,Non-Farm Employment Change,us_nfp,290.0,198.0,230.0,92.0,1
2010-05-19,CPI m/m,us_cpi,-0.1,0.2,0.1,-0.30000000000000004,1
2010-05-31,CPI Flash Estimate y/y,eu_cpi,1.6,1.6,1.5,0.0,1
2010-06-04,Non-Farm Employment Change,us_nfp,431.0,521.0,290.0,-90.0,1
2010-06-10,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2010-06-17,CPI m/m,us_cpi,-0.2,-0.2,-0.1,0.0,1
