date,event,actual,forecast,previous,cpi_surprise,cpi_available
2020-10-13,CPI m/m,0.2,0.2,0.4,0.0,1
2020-11-12,CPI m/m,0.0,0.1,0.2,-0.1,1
2020-12-10,CPI m/m,0.2,0.1,0.0,0.1,1
2021-01-13,CPI m/m,0.4,0.4,0.2,0.0,1
2021-02-10,CPI m/m,0.3,0.3,0.4,0.0,1
2021-03-10,CPI m/m,0.4,0.4,0.3,0.0,1
2021-04-13,CPI m/m,0.6,0.5,0.4,0.09999999999999998,1
2021-05-12,CPI m/m,0.8,0.2,0.6,0.6000000000000001,1
2021-06-10,CPI m/m,0.6,0.4,0.8,0.19999999999999996,1
2021-07-13,CPI m/m,0.9,0.5,0.6,0.4,1
2021-08-11,CPI m/m,0.5,0.5,0.9,0.0,1
2021-09-14,CPI m/m,0.3,0.4,0.5,-0.10000000000000003,1
2021-10-13,CPI m/m,0.4,0.3,0.3,0.10000000000000003,1
2021-11-10,CPI m/m,0.9,0.6,0.4,0.30000000000000004,1
2021-12-10,CPI m/m,0.8,0.7,0.9,0.10000000000000009,1
2022-01-12,CPI m/m,0.5,0.4,0.8,0.09999999999999998,1
2022-02-10,CPI m/m,0.6,0.4,0.5,0.19999999999999996,1
2022-03-10,CPI m/m,0.8,0.8,0.6,0.0,1
2022-04-12,CPI m/m,1.2,1.2,0.8,0.0,1
2022-05-11,CPI m/m,0.3,0.2,1.2,0.09999999999999998,1
2022-06-10,CPI m/m,1.0,0.7,0.3,0.30000000000000004,1
2022-07-13,CPI m/m,1.3,1.1,1.0,0.19999999999999996,1
2022-08-10,CPI m/m,0.0,0.2,1.3,-0.2,1
2022-09-13,CPI m/m,0.1,-0.1,0.0,0.2,1
2022-10-13,CPI m/m,0.4,0.2,0.1,0.2,1
2022-11-10,CPI m/m,0.4,0.6,0.4,-0.19999999999999996,1
2022-12-13,CPI m/m,0.1,0.3,0.4,-0.19999999999999998,1
2023-01-12,CPI m/m,-0.1,-0.1,0.1,0.0,1
2023-02-14,CPI m/m,0.5,0.5,-0.1,0.0,1
2023-03-14,CPI m/m,0.4,0.4,0.5,0.0,1
2023-04-12,CPI m/m,0.1,0.2,0.4,-0.1,1
2023-05-10,CPI m/m,0.4,0.4,0.1,0.0,1
2023-06-13,CPI m/m,0.1,0.2,0.4,-0.1,1
2023-07-12,CPI m/m,0.2,0.3,0.1,-0.09999999999999998,1
2023-08-10,CPI m/m,0.2,0.2,0.2,0.0,1
2023-09-13,CPI m/m,0.6,0.6,0.2,0.0,1
2023-10-12,CPI m/m,0.4,0.3,0.6,0.10000000000000003,1
2023-11-14,CPI m/m,0.0,0.1,0.4,-0.1,1
2023-12-12,CPI m/m,0.1,0.0,0.0,0.1,1
2024-01-11,CPI m/m,0.3,0.2,0.1,0.09999999999999998,1
2024-02-13,CPI m/m,0.3,0.2,0.3,0.09999999999999998,1
2024-03-12,CPI m/m,0.4,0.4,0.3,0.0,1
2024-04-10,CPI m/m,0.4,0.3,0.4,0.10000000000000003,1
2024-05-15,CPI m/m,0.3,0.4,0.4,-0.10000000000000003,1
2024-06-12,CPI m/m,0.0,0.1,0.3,-0.1,1
2024-07-11,CPI m/m,-0.1,0.1,0.0,-0.2,1
2024-08-14,CPI m/m,0.2,0.2,-0.1,0.0,1
2024-09-11,CPI m/m,0.2,0.2,0.2,0.0,1
2024-10-10,CPI m/m,0.2,0.1,0.2,0.1,1
2024-11-13,CPI m/m,0.2,0.2,0.2,0.0,1
2024-12-11,CPI m/m,0.3,0.3,0.2,0.0,1
2025-01-15,CPI m/m,0.4,0.4,0.3,0.0,1
2025-02-12,CPI m/m,0.5,0.3,0.4,0.2,1
2025-03-12,CPI m/m,0.2,0.3,0.5,-0.09999999999999998,1
2025-04-10,CPI m/m,-0.1,0.1,0.2,-0.2,1
2025-05-13,CPI m/m,0.2,0.3,-0.1,-0.09999999999999998,1
2025-06-11,CPI m/m,0.1,0.2,0.2,-0.1,1
2025-07-15,CPI m/m,0.3,0.3,0.1,0.0,1
2025-08-12,CPI m/m,0.2,0.2,0.3,0.0,1
2025-09-11,CPI m/m,0.4,0.3,0.2,0.10000000000000003,1
2025-10-24,CPI m/m,0.3,0.4,0.4,-0.10000000000000003,1
